apogee_id,glon,glat,snr,vhelio_avg,vscatter,teff,logg,m_h,alpha_m
2M12163441+1339585,270.04037,74.26728,70.10645,38.16763,0.09941743,3816.849,4.647094,0.027627,-0.0320027
2M12164346+1527055,266.54524,75.80891,93.85773,-27.08098,0.02275167,4029.203,4.614169,-0.070033,-0.0686197
2M12165001+1322296,270.76709,74.04473,147.6144,2.471999,0.111232,5037.786,4.507931,-0.24556,0.0161563
2M12165072+0501172,280.95492,66.40583,68.69498,-18.23786,0.03732295,4491.242,4.582656,0.077571,-0.0055258
2M12165072+0501172,280.95492,66.40583,68.69498,-18.23786,0.03732295,4491.242,4.582656,0.077571,-0.0055258
2M12165473+0457447,281.04328,66.35576,126.274,8.592421,0.03713721,4620.399,4.567077,0.17472,0.00315797
2M12165473+0457447,281.04328,66.35576,126.274,8.592421,0.03713721,4620.399,4.567077,0.17472,0.00315797
2M12165565+1251287,271.72978,73.60224,112.0058,13.79067,0.02328769,5038.11,4.561704,-0.20299,0.1637053
2M12165686+1503311,267.58557,75.50747,101.9225,29.44846,0.1755972,4514.458,4.607916,0.088417,-0.0248047
2M12170374+0432573,281.46799,65.97805,126.1122,47.59594,0.09881546,4841.671,3.000641,-0.16011,0.093686
2M12170374+0432573,281.46799,65.97805,126.1122,47.59594,0.09881546,4841.671,3.000641,-0.16011,0.093686
2M12170374+0432573,281.46799,65.97805,126.1122,47.59594,0.09881546,4841.671,3.000641,-0.16011,0.093686
2M12171015+0535037,280.66811,66.96305,98.34898,-20.714,0.4025576,4814.108,4.602284,-0.35874,0.0496633
2M12171015+0535037,280.66811,66.96305,98.34898,-20.714,0.4025576,4814.108,4.602284,-0.35874,0.0496633
2M12171137+1359102,269.92909,74.61914,54.09624,-37.74871,0.1040659,3503.595,4.667785,-9999,-9999
2M12171778+0548503,280.54413,67.18973,133.0274,5.341426,0.04878686,4252.667,4.586285,-0.0030873,-0.0410517
2M12171778+0548503,280.54413,67.18973,133.0274,5.341426,0.04878686,4252.667,4.586285,-0.0030873,-0.0410517
2M12171948+1403569,269.8859,74.7045,117.5102,1.674462,0.6839218,3586.138,4.6793,-9999,-9999
2M12172393+1415283,269.57711,74.87959,75.11315,-6.671894,0.06241266,4947.224,4.500769,0.23382,0.0313443
2M12173221+1409234,269.88262,74.80877,63.43932,-20.98624,0.6431456,3450.593,4.664831,-9999,-9999
2M12173369+0528121,281.00076,66.8882,100.1037,-2.851384,2.48737,4648.462,4.566081,-0.11972,0.0306853
2M12173369+0528121,281.00076,66.8882,100.1037,-2.851384,2.48737,4648.462,4.566081,-0.11972,0.0306853
2M12173933+1409270,269.97587,74.82401,69.43575,34.92668,0.1052335,4911.144,4.511465,-0.042315,0.0959763
2M12174014+3908057,151.19077,76.08265,126.8951,-7.19024,0.04297359,4827.767,4.583917,-0.0074086,0.0153573
2M12174218+1530405,267.2245,75.98719,79.14917,5.360513,0.1696875,4291.637,4.622658,-0.27956,-0.0118547
2M12174379+5713092,131.87806,59.31986,366.2679,-34.77288,3.688426,4612.185,4.530927,-0.12773,-0.0048738
2M12174515+0534013,281.03255,66.99553,97.71574,8.892048,0.1173861,4548.635,4.625033,-0.14663,-0.0160197
2M12174515+0534013,281.03255,66.99553,97.71574,8.892048,0.1173861,4548.635,4.625033,-0.14663,-0.0160197
2M12175080+0458149,281.58531,66.44028,52.92685,-17.25652,0.09479243,4635.798,4.528739,-0.13619,0.0178543
2M12175080+0458149,281.58531,66.44028,52.92685,-17.25652,0.09479243,4635.798,4.528739,-0.13619,0.0178543
2M12175080+0458149,281.58531,66.44028,52.92685,-17.25652,0.09479243,4635.798,4.528739,-0.13619,0.0178543
2M12175142+1347136,270.82796,74.52591,57.69197,40.15746,0.03572681,4986.038,4.523674,-0.020076,0.1110453
2M12175834+0552097,280.90477,67.29871,100.1694,-31.45203,14.63885,4369.93,4.547654,0.030668,-0.0481647
2M12175834+0552097,280.90477,67.29871,100.1694,-31.45203,14.63885,4369.93,4.547654,0.030668,-0.0481647
2M12180052+5618120,132.27405,60.21458,83.91311,-41.63486,0.08365621,4099.014,4.618886,-0.025872,-0.0501547
2M12180879+0458505,281.75417,66.47382,267.6856,17.77183,0.0551868,4529.553,4.629424,-0.13442,0.0006502
2M12180879+0458505,281.75417,66.47382,267.6856,17.77183,0.0551868,4529.553,4.629424,-0.13442,0.0006502
2M12180879+0458505,281.75417,66.47382,267.6856,17.77183,0.0551868,4529.553,4.629424,-0.13442,0.0006502
2M12181612+0502040,281.78298,66.5345,77.24985,12.88003,0.1570767,4406.488,4.580031,-0.18197,-0.005773
2M12181612+0502040,281.78298,66.5345,77.24985,12.88003,0.1570767,4406.488,4.580031,-0.18197,-0.005773
2M12181612+0502040,281.78298,66.5345,77.24985,12.88003,0.1570767,4406.488,4.580031,-0.18197,-0.005773
2M12181749+1408283,270.51935,74.88626,102.8727,9.413645,0.07412674,4392.621,4.607984,-0.24612,0.0014129
2M12181781+1447505,269.23837,75.4547,107.7904,-14.28432,0.12144,4765.457,4.614221,-0.36191,0.0458713
2M12181969+3936432,149.70491,75.74634,54.38326,-1.815043,0.5141298,3968.139,4.624613,0.15653,-0.0878857
2M12182030+4002520,148.80027,75.37349,60.39599,-7.159571,0.131014,4265.691,4.599053,-0.23601,-0.0403827
2M12182096+1449409,269.21945,75.48756,114.2159,45.70487,0.3939863,4851.125,4.549371,-0.17158,0.1218353
2M12182786+4103133,146.81272,74.50975,147.1139,-19.61997,0.04235254,5041.435,4.53703,0.17801,-0.0012599
2M12183248+4115534,146.39216,74.33079,98.69512,3.478765,0.1788287,5104.082,4.528108,-0.28401,0.0433373
2M12184031+3939340,149.3753,75.74,38.06521,-14.46853,0.02857327,4937.806,3.378735,-0.39939,0.232215
2M12184083+4111308,146.43414,74.40745,94.13599,-48.75989,0.1030486,3911.567,4.624754,0.0052304,-0.0457927
2M12185263+1526058,268.38511,76.07287,146.9841,8.061769,0.1433872,3607.871,4.653362,-0.084815,-0.0558867
2M12185628+3921316,149.83353,76.02382,321.9171,1.060292,0.09695542,4895.302,3.536302,0.25664,0.007373001
2M12190033+1322018,272.48419,74.2891,1149.247,9.75991,0.048871,4885.128,2.894164,-0.14172,0.048177
2M12190080+1428397,270.46648,75.26526,172.1924,1.647936,0.09024566,4856.572,4.579286,0.043725,-0.0164647
2M12190130+4021594,147.73059,75.16228,147.4737,-5.146597,0.01699162,4944.087,4.501145,-0.079823,0.1058553
2M12190130+4021594,147.73059,75.16228,147.4737,-5.146597,0.01699162,4944.087,4.501145,-0.079823,0.1058553
2M12190204+3852328,150.83863,76.44385,124.0782,4.563697,0.229745,3608.228,4.670686,-9999,-9999
2M12190522+1459021,269.5171,75.71246,150.2763,-2.054907,0.06828071,4650.692,4.547794,-0.19162,0.0310533
2M12190619+4004444,148.23616,75.41999,89.16964,-10.67035,0.08520435,4570.035,4.576476,-0.027551,-0.0190507
2M12190619+4004444,148.23616,75.41999,89.16964,-10.67035,0.08520435,4570.035,4.576476,-0.027551,-0.0190507
